id,user_id,flight_room_id,name,no_of_pour,type,sub_type,created_at,updated_at,deleted_at
202,46,,Test,1,fully-blind,,2025-04-04 07:41:28,2025-04-04 07:41:28,
206,46,,vvvbb,1,fully-blind,,2025-04-04 10:34:29,2025-04-04 10:34:29,
210,10,,res,1,fully-blind,,2025-04-04 13:36:27,2025-04-04 13:36:27,
217,10,,Res,1,fully-blind,,2025-04-04 14:03:48,2025-04-04 14:03:48,
219,10,,4554,1,fully-blind,,2025-04-04 14:04:45,2025-04-04 14:04:45,
221,40,,ress,1,fully-blind,,2025-04-04 14:07:25,2025-04-04 14:07:25,
223,40,,popop,1,fully-blind,,2025-04-04 14:08:40,2025-04-04 14:08:40,
225,40,,Ressss,1,fully-blind,,2025-04-04 14:12:30,2025-04-04 14:12:30,
227,40,,Resss,1,fully-blind,,2025-04-04 14:14:56,2025-04-04 14:14:56,
228,40,,Tytyt,1,fully-blind,,2025-04-04 14:19:40,2025-04-04 14:19:40,
232,40,,Tytytyty,1,fully-blind,,2025-04-04 14:27:25,2025-04-04 14:27:25,
234,40,,Reddd,1,fully-blind,,2025-04-04 14:30:41,2025-04-04 14:30:41,
236,35,,Boulder American single malt New American 94p,1,heads-up,,2025-04-05 03:12:14,2025-04-05 03:12:14,
237,8,,Eagle rare,1,heads-up,,2025-04-05 20:19:25,2025-04-05 20:19:25,
238,8,,Little book,1,heads-up,,2025-04-05 20:39:13,2025-04-05 20:39:13,
239,8,,Bulleit 12,1,heads-up,,2025-04-05 21:02:36,2025-04-05 21:02:36,
240,8,,Leopold,1,heads-up,,2025-04-05 21:33:56,2025-04-05 21:33:56,
241,8,,Bomb,1,heads-up,,2025-04-05 21:53:21,2025-04-05 21:53:21,
242,8,,Ofsbbp,1,fully-blind,,2025-04-05 22:45:23,2025-04-05 22:45:23,
243,31,,Worst ever,1,heads-up,,2025-04-06 02:20:53,2025-04-06 02:20:53,
244,35,,Larceny Barrel Proof B524 125.4p,1,heads-up,,2025-04-06 02:31:56,2025-04-06 02:31:56,
245,35,,OGD 114,1,heads-up,,2025-04-06 02:45:14,2025-04-06 02:45:14,
246,35,,Buffalo Trace bourbon 90p,1,heads-up,,2025-04-06 03:44:53,2025-04-06 03:44:53,
247,8,,Weller 13,1,fully-blind,,2025-04-06 17:14:20,2025-04-06 17:14:20,
248,32,,Weller 12 Blind,1,fully-blind,,2025-04-06 17:14:50,2025-04-06 17:14:50,
249,8,,Michter's 10,1,fully-blind,,2025-04-06 17:34:20,2025-04-06 17:34:20,
250,32,,Michters 10 R Blind,1,fully-blind,,2025-04-06 17:35:02,2025-04-06 17:35:02,
251,8,,Jmcb,1,fully-blind,,2025-04-06 17:59:13,2025-04-06 17:59:13,
252,32,,RR Single,1,fully-blind,,2025-04-06 17:59:42,2025-04-06 17:59:42,
253,48,,Weedend party,1,fully-blind,,2025-04-06 18:24:30,2025-04-06 18:24:30,
254,32,,Stagg,1,fully-blind,,2025-04-06 18:38:53,2025-04-06 18:38:53,
255,32,,Pen toast ryw,1,heads-up,,2025-04-06 18:57:05,2025-04-06 18:57:05,
256,8,,Wonder,1,fully-blind,,2025-04-06 19:20:23,2025-04-06 19:20:23,
257,32,,Jd coy hill,1,fully-blind,,2025-04-06 19:47:45,2025-04-06 19:47:45,
258,8,,Russel's ac,1,heads-up,,2025-04-06 19:49:42,2025-04-06 19:49:42,
259,8,,Kc12,1,heads-up,,2025-04-06 20:28:02,2025-04-06 20:28:02,
260,8,,Bush,1,heads-up,,2025-04-06 20:57:48,2025-04-06 20:57:48,
261,32,,Bush,1,heads-up,,2025-04-06 21:13:37,2025-04-06 21:13:37,
262,35,,Elijah Craig Barrel Proof C923 133p,1,heads-up,,2025-04-07 01:34:11,2025-04-07 01:34:11,
264,49,,Test,1,fully-blind,,2025-04-07 07:06:37,2025-04-07 07:06:37,
266,51,,Test,1,fully-blind,,2025-04-07 07:16:31,2025-04-07 07:16:31,
268,35,,Wild Turkey 70th anniversary 101p,1,heads-up,,2025-04-08 03:11:12,2025-04-08 03:11:12,
271,49,,test,1,fully-blind,,2025-04-08 09:33:57,2025-04-08 09:33:57,
273,10,,Four Roses Single Barrel OESK,1,heads-up,,2025-04-08 09:44:06,2025-04-08 09:44:06,
275,10,Jl1QuRE5GQ,The Presidential Dram 4 Year Straight Bourbon Whiskey,1,fully-blind,,2025-04-08 09:56:35,2025-04-08 09:56:35,
276,10,,The Presidential Dram 4 Year Straight Bourbon Whiskey,1,fully-blind,,2025-04-08 09:56:36,2025-04-08 09:56:36,
277,10,5Gz68tm4ol,Test,2,fully-blind,,2025-04-08 09:59:25,2025-04-08 09:59:25,
278,46,,Test,1,fully-blind,,2025-04-08 11:27:21,2025-04-08 11:27:21,
279,46,,Test,1,fully-blind,,2025-04-08 11:29:01,2025-04-08 11:29:01,
280,35,,Peerless Bourbon Double Oak 108.5p,1,heads-up,,2025-04-09 01:15:26,2025-04-09 01:15:26,
283,10,,The Presidential Dram 4 Year Straight Bourbon Whiskey,1,fully-blind,,2025-04-09 11:27:54,2025-04-09 11:27:54,
286,35,,Balcones 1 single malt 106p,1,heads-up,,2025-04-10 02:05:34,2025-04-10 02:05:34,
287,8,,Blantons,1,heads-up,,2025-04-10 21:58:03,2025-04-10 21:58:03,
288,8,,Bees,1,heads-up,,2025-04-10 22:10:09,2025-04-10 22:10:09,
289,8,,Michter's,1,heads-up,,2025-04-10 23:03:07,2025-04-10 23:03:07,
290,8,,Eht,1,heads-up,,2025-04-11 00:14:12,2025-04-11 00:14:12,
291,8,,Wfp,1,heads-up,,2025-04-11 00:32:54,2025-04-11 00:32:54,
292,8,,People,1,heads-up,,2025-04-11 01:19:02,2025-04-11 01:19:02,
293,49,5ia3kxXc4u,Sugarland's Blueberry Muffin Moonshine,1,fully-blind,,2025-04-11 05:51:36,2025-04-11 05:51:36,
